school,sex,age,G1,G2,G3,Total
School A,F,18,5,6,6,17
School A,F,17,5,5,6,16
School A,F,15,7,8,10,25
School A,F,15,15,14,15,44
School A,F,16,6,10,10,26
School A,M,16,15,15,15,45
School A,M,16,12,12,11,35
School A,F,17,6,5,6,17
School A,M,15,16,18,19,53
School A,M,15,14,15,15,44
School A,F,15,10,8,9,27
School A,F,15,10,12,12,34
School A,M,15,14,14,14,42
School A,M,15,10,10,11,31
School A,M,15,14,16,16,46
School A,F,16,14,14,14,42
School A,F,16,13,14,14,41
School A,F,16,8,10,10,28
School A,M,17,6,5,5,16
School A,M,16,8,10,10,28
School A,M,15,13,14,15,42
School A,M,15,12,15,15,42
School A,M,16,15,15,16,46
School A,M,16,13,13,12,38
School A,F,15,10,9,8,27
School A,F,16,6,9,8,23
School A,M,15,12,12,11,35
School A,M,15,15,16,15,46
School A,M,16,11,11,11,33
School A,M,16,10,12,11,33
School A,M,15,9,11,12,32
School A,M,15,17,16,17,50
School A,M,15,17,16,16,49
School A,M,15,8,10,12,30
School A,M,16,12,14,15,41
School A,F,15,8,7,6,21
School A,M,15,15,16,18,49
School A,M,16,15,16,15,46
School A,F,15,12,12,11,35
School A,F,15,14,13,13,40
School A,F,16,7,10,11,28
School A,M,15,12,12,12,36
School A,M,15,19,18,18,55
School A,M,15,8,8,11,27
School A,F,16,10,10,9,29
School A,F,15,8,8,6,22
School A,F,16,11,12,11,34
School A,M,16,19,19,20,58
School A,M,15,15,15,14,44
School A,F,15,7,7,7,21
School A,F,16,12,13,13,38
School A,F,15,11,13,13,37
School A,M,15,11,11,10,32
School A,F,15,8,10,11,29
School A,F,15,10,13,13,36
School A,F,16,8,9,10,27
School A,F,15,14,15,15,44
School A,M,15,14,15,15,44
School A,M,15,9,10,9,28
School A,F,16,15,16,16,47
School A,F,16,10,11,11,32
School A,F,16,10,8,11,29
School A,F,16,8,10,9,27
School A,F,16,10,9,9,28
School A,F,15,10,10,10,30
School A,F,16,16,15,15,46
School A,M,15,13,13,12,38
School A,F,16,7,7,6,20
School A,F,15,8,9,8,25
School A,F,15,16,16,16,48
School A,M,16,13,15,15,43
School A,M,15,10,10,10,30
School A,F,15,8,6,5,19
School A,M,16,12,12,14,38
School A,F,16,11,12,11,34
School A,M,15,9,9,10,28
School A,M,15,11,11,10,32
School A,F,16,11,11,11,33
School A,M,17,8,8,10,26
School A,F,16,5,5,5,15
School A,M,15,10,12,12,34
School A,M,15,11,10,11,32
School A,F,15,7,6,6,19
School A,M,15,15,15,15,45
School A,F,15,9,10,10,29
School A,F,15,7,9,8,24
School A,F,16,8,7,6,21
School A,F,15,13,14,14,41
School A,M,16,11,10,10,31
School A,M,16,8,6,7,21
School A,F,16,7,7,8,22
School A,F,15,16,17,18,51
School A,F,16,7,6,6,19
School A,F,16,11,10,10,31
School A,M,15,11,13,14,38
School A,F,15,7,10,10,27
School A,M,16,11,15,15,41
School A,F,16,8,9,10,27
School A,F,16,11,14,14,39
School A,F,16,7,9,8,24
School A,M,16,7,7,5,19
School A,M,16,16,17,17,50
School A,M,15,10,13,14,37
School A,F,15,7,6,6,19
School A,M,15,16,18,18,52
School A,F,15,10,11,11,32
School A,F,15,7,8,8,23
School A,M,16,16,18,18,52
School A,M,15,10,13,13,36
School A,F,16,14,15,16,45
School A,M,15,18,19,19,56
School A,F,16,7,10,10,27
School A,F,16,10,13,13,36
School A,M,15,18,19,19,56
School A,M,15,9,9,9,27
School A,M,16,15,15,16,46
School A,M,15,11,13,14,38
School A,M,16,13,14,13,40
School A,M,17,9,7,8,24
School A,M,15,14,13,13,40
School A,F,15,16,15,15,46
School A,M,15,16,14,15,45
School A,F,16,13,13,13,39
School A,M,16,14,11,13,38
School A,F,16,8,7,8,23
School A,M,15,13,13,12,38
School A,F,15,7,10,11,28
School A,F,19,7,8,9,24
School A,M,18,7,4,0,11
School A,M,16,18,18,18,54
School A,F,15,12,0,0,12
School A,F,15,8,0,0,8
School A,F,17,10,13,12,35
School A,F,16,12,11,11,34
School A,M,15,9,0,0,9
School A,F,15,11,0,0,11
School A,M,17,10,0,0,10
School A,F,16,4,0,0,4
School A,M,16,14,12,12,38
School A,F,15,16,16,15,47
