month,floor_area_sqm,resale_price,age
2021-01-01,45,225000,35
2021-01-01,45,211000,35
2021-01-01,73,275888,45
2021-01-01,67,316800,43
2021-01-01,67,305000,43
2021-01-01,68,260000,40
2021-01-01,73,351000,44
2021-01-01,73,343000,44
2021-01-01,75,306000,41
2021-01-01,68,265000,41
2021-01-01,68,268000,41
2021-01-01,68,298000,40
2021-01-01,75,300000,42
2021-01-01,81,350000,37
2021-01-01,68,265000,41
2021-01-01,82,344000,41
2021-01-01,68,270000,40
2021-01-01,67,315000,42
2021-01-01,73,305000,43
2021-01-01,73,328000,43
2021-01-01,73,322000,44
2021-01-01,67,328600,42
2021-01-01,67,280000,44
2021-01-01,67,280000,43
2021-01-01,67,290000,44
2021-01-01,67,328888,44
2021-01-01,88,368000,42
2021-01-01,73,335000,43
2021-01-01,67,318000,44
2021-01-01,73,300000,43
2021-01-01,67,290000,43
2021-01-01,74,323888,43
2021-01-01,74,300000,43
2021-01-01,73,285000,44
2021-01-01,68,300000,40
2021-01-01,60,268000,35
2021-01-01,73,347000,44
2021-01-01,60,275000,35
2021-01-01,88,340000,44
2021-01-01,89,355000,41
2021-01-01,68,320000,40
2021-01-01,68,309000,40
2021-01-01,75,328888,41
2021-01-01,68,330000,40
2021-01-01,68,282000,40
2021-01-01,82,354000,41
2021-01-01,68,285000,41
2021-01-01,67,295000,41
2021-01-01,82,345000,41
2021-01-01,68,300000,41
2021-01-01,67,433000,6
2021-01-01,67,438000,6
2021-01-01,97,448000,44
2021-01-01,92,420000,42
2021-01-01,92,375000,42
2021-01-01,92,420000,42
2021-01-01,92,370000,40
2021-01-01,92,385000,42
2021-01-01,92,410000,44
2021-01-01,92,418000,43
2021-01-01,92,430000,41
2021-01-01,98,410000,43
2021-01-01,92,450000,43
2021-01-01,92,410000,42
2021-01-01,98,510000,43
2021-01-01,107,508000,25
2021-01-01,100,462888,41
2021-01-01,90,690000,18
2021-01-01,109,445000,41
2021-01-01,85,665000,18
2021-01-01,91,380000,41
2021-01-01,90,580000,15
2021-01-01,90,505055,15
2021-01-01,90,605000,15
2021-01-01,95,669300,20
2021-01-01,93,583000,19
2021-01-01,90,750000,10
2021-01-01,123,590000,44
2021-01-01,118,483000,40
2021-01-01,133,680000,28
2021-01-01,133,760000,25
2021-01-01,118,629000,41
