"year","household_size","house_category","flat_price"
2020,"5-member","Executive",860011.7116
2020,"4-member","4-room",578144.6752
2020,"5-member","4-room",648810.1887
2020,"1-member","3-room",468277.2004
2020,"3-member","4-room",566517.4119
2020,"2-member","3Gen",796074.13
2020,"3-member","3-room",509605.9001
2020,"1-member","5-room",707953.3874
2020,"1-member","2-room",438993.6565
2020,"4-member","3Gen",784334.8601
2020,"5-member","2-room",380128.4384
2020,"4-member","3-room",533500.7657
2020,"5-member","4-room",590034.6959
2020,"3-member","5-room",696518.8241
2020,"2-member","3Gen",781656.5092
2020,"1-member","5-room",674919.8135
2020,"4-member","4-room",601040.9851
2020,"3-member","4-room",610471.0787
2020,"2-member","5-room",717300.6327
2020,"2-member","3Gen",848961.4138
2020,"3-member","3-room",489517.7096
2020,"3-member","4-room",595528.3962
2020,"3-member","4-room",631025.8627
2020,"2-member","3-room",519281.7562
2020,"2-member","2-room",392020.0564
2020,"3-member","4-room",591434.1803
2020,"6-member","3-room",540226.6363
2020,"1-member","2-room",398306.7435
2020,"4-member","3-room",484764.1262
2020,"1-member","2-room",395301.7496
2020,"1-member","4-room",616777.7211
2020,"2-member","3-room",447800.1417
2020,"5-member","2-room",412228.0141
2020,"2-member","4-room",564117.3958
2020,"3-member","4-room",623015.1997
2020,"3-member","3Gen",762872.6497
2020,"2-member","5-room",737464.6379
2020,"2-member","4-room",587417.8589
2020,"4-member","4-room",595982.5182
2020,"2-member","3Gen",753486.3027
2020,"2-member","4-room",592013.9142
2020,"1-member","4-room",590716.532
2020,"3-member","4-room",608901.4187
2020,"5-member","3-room",491507.809
2020,"2-member","2-room",384873.7977
2020,"3-member","3-room",491381.7251
2020,"1-member","4-room",654804.578
2020,"3-member","2-room",359825.3653
2020,"3-member","5-room",683591.1051
2020,"6-member","2-room",374407.5676
2020,"6-member","3Gen",827079.1123
2020,"3-member","3-room",459821.5371
2020,"4-member","3-room",525522.9433
2020,"4-member","4-room",656922.0995
2020,"2-member","2-room",397302.5397
2020,"2-member","3-room",508100.8194
2020,"3-member","2-room",420854.7884
2020,"1-member","Executive",953398.3025
2020,"6-member","4-room",613481.5439
2020,"6-member","4-room",618763.7119
2020,"2-member","2-room",402933.4286
2020,"6-member","5-room",694721.4756
2020,"5-member","2-room",417859.6282
2020,"2-member","4-room",667050.1673
2020,"5-member","4-room",630804.8428
2020,"2-member","3-room",496867.5137
2020,"3-member","4-room",618442.2801
2020,"1-member","3-room",507011.2722
2020,"5-member","4-room",584892.2961
2020,"1-member","2-room",391480.4102
2020,"3-member","2-room",379383.5734
2020,"4-member","Executive",919428.7639
2020,"4-member","Executive",899682.3342
2020,"1-member","2-room",426616.7716
2020,"3-member","4-room",636364.4544
2020,"3-member","5-room",712823.4647
2020,"4-member","4-room",610455.5543
2020,"4-member","3Gen",831047.5533
2020,"2-member","4-room",626143.745
2020,"1-member","2-room",383805.6871
2020,"3-member","5-room",630821.858
2020,"4-member","5-room",697352.6719
2020,"4-member","4-room",639858.2798
2020,"5-member","Executive",892404.1157
2020,"4-member","5-room",663195.7331
2020,"3-member","3-room",471808.3152
2020,"2-member","5-room",682870.7811
